title,link,subtitle,price,area,property_details,city,location,first_image_url,latitude,longitude,price_per_sqft
3 BHK Independent House for rent in Jankipuram,,Oro City Extension,22000,2000.0,Semi furnished,Lucknow,Jankipuram,https://housing-images.n7net.in/01c16c28/694488fb13a746f4ab587a034c4f9ee3/v0/large/3_bhk_independent_house-for-rent-jankipuram-Lucknow-living_room.jpg,26.9326839,80.9396394,11.0
2 BHK Independent Builder Floor for rent in Indira Nagar,,Manas City Extension,13500,850.0,Un-furnished,Lucknow,Indira Nagar,https://housing-images.n7net.in/01c16c28/66cfd4e2b303db6c255e6f430848a476/v0/large/2_bhk_independent_builder_floor-for-rent-indira_nagar_5-Lucknow-hall.jpg,26.8823182,80.9900344,15.882352941176471
2 BHK Independent Builder Floor for rent in Gomti Nagar Extension,,Not Found,16000,1230.0,Semi furnished,Lucknow,Gomti Nagar Extension,https://housing-images.n7net.in/01c16c28/a8e9ed63f5a127d7b995f36f439f70ea/v0/large/2_bhk_independent_builder_floor-for-rent-gomti_nagar_extension_1-Lucknow-hall.jpg,,,13.008130081300813
3 BHK Flat for rent in Gomti Nagar Extension,,Eldeco Elegance,32000,1936.0,Semi furnished,Lucknow,Gomti Nagar Extension,https://housing-images.n7net.in/01c16c28/e23e9acda0594d39930a5aa0bc886554/v0/large/3_bhk_apartment-for-rent-gomti_nagar_extension_1-Lucknow-living_room.jpg,,,16.52892561983471
2 BHK Independent House for rent in Gomti Nagar Extension,,Not Found,30000,2000.0,Fully furnished,Lucknow,Gomti Nagar Extension,https://housing-images.n7net.in/01c16c28/d37574c365bcb053231c0230bcffe8d5/v0/large/2_bhk_independent_house-for-rent-gomti_nagar_extension_1-Lucknow-hall.jpg,,,15.0
2 BHK Flat for rent in Gomti Nagar Extension,,Rishita Manhattan,30000,1880.0,Fully furnished,Lucknow,Gomti Nagar Extension,https://housing-images.n7net.in/01c16c28/b9a16fd5b9132e5dad387a777f5fb007/v0/large/2_bhk_apartment-for-rent-gomti_nagar_extension_1-Lucknow-hall.jpg,,,15.957446808510639
3 BHK Flat for rent in Arjunganj,,Omaxe Residency,45000,1650.0,Fully furnished,Lucknow,Arjunganj,https://housing-images.n7net.in/01c16c28/dbd561d3dcab195bd1d5e2853f26d555/v0/large/3_bhk_apartment-for-rent-arjunganj-Lucknow-hall.jpg,26.8090913,80.9899168,27.272727272727273
3 BHK Flat for rent in Vrindavan Yojana,,Mangalam Neelkanth Dreamz,18000,1440.0,Semi furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/07ef83d8c202465fa2b71969e8310efb/v0/large/3_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-living_room.jpg,,,12.5
3 BHK Flat for rent in Gomti Nagar Extension,,Not Found,35000,2600.0,Semi furnished,Lucknow,Gomti Nagar Extension,https://housing-images.n7net.in/01c16c28/3682f3f5c63abc9872ccb2907a870859/v0/large/3_bhk_apartment-for-rent-gomti_nagar_extension_1-Lucknow-hall.jpg,,,13.461538461538462
3 BHK Flat for rent in Sushant Golf City,,Okas Residency,20000,1500.0,Semi furnished,Lucknow,Sushant Golf City,https://housing-images.n7net.in/01c16c28/993f31caebbd3beefbe9b957ccdd905f/v0/large/3_bhk_apartment-for-rent-yusufnagar-Lucknow-hall.jpg,26.7801794,81.0247541,13.333333333333334
3 BHK Flat for rent in Vrindavan Yojana,,AWHO Vay Sector 8B G,20000,1700.0,Un-furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/31c7f68666c3be6b6e0f29a082df5051/v0/large/3_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-hall.jpg,,,11.764705882352942
4 BHK Flat for rent in Gomti Nagar Extension,,Rohtas Presidential Tower,65000,2200.0,Fully furnished,Lucknow,Gomti Nagar Extension,https://housing-images.n7net.in/01c16c28/396e298b68451e6922cc12c66e6d439a/v0/large/4_bhk_apartment-for-rent-gomti_nagar_extension_1-Lucknow-hall.jpg,,,29.545454545454547
8 BHK Villa for rent in Ashiyana,,Not Found,60000,5100.0,Semi furnished,Lucknow,Ashiyana,https://housing-images.n7net.in/01c16c28/5cdde516c605c0f3d38debdb34f4c805/v0/large/8_bhk_villa-for-rent-ashiyana-Lucknow-hall.jpg,26.8668883,80.9106565,11.764705882352942
2 BHK Independent House for rent in Eldeco II,,Eldeco Saksham At Samridhi Udyan 2,20000,2000.0,Semi furnished,Lucknow,Eldeco II,https://housing-images.n7net.in/01c16c28/3e9ac12254dd5c349dd901c883615cbc/v0/large/2_bhk_independent_house-for-rent-eldeco_ii-Lucknow-hall.jpg,26.8587948,80.9732617,10.0
