title,link,subtitle,price,area,property_details
2 BHK Independent House for rent in Gomti Nagar Extension,https://housing.com/rent/16951912-1500-sqft-2-bhk-independent-house-on-rent-in-gomti-nagar-extension-lucknow,Not Found,"₹14,000",1500 sq.ft,Semi furnished
2 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16684051-1265-sqft-2-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Tulsiani Luvnest,"₹18,000",1265 sq.ft,Semi furnished
3 BHK Flat for rent in Arjunganj,https://housing.com/rent/16677231-1450-sqft-3-bhk-apartment-on-rent-in-sultanpur-road-lucknow,Omaxe Residency,"₹32,000",1450 sq.ft,Fully furnished
2 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16672943-1100-sqft-2-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Gold Star Homes Phase II,"₹22,000",1100 sq.ft,Fully furnished
3 BHK Independent Builder Floor for rent in Aliganj,https://housing.com/rent/16943203-1500-sqft-3-bhk-independent-floor-on-rent-in-aliganj-lucknow,Not Found,"₹25,000",1500 sq.ft,Semi furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/17007262-1950-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Experion Capital,"₹55,000",1950 sq.ft,Fully furnished
2 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/16880376-1250-sqft-2-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Rustle Court,"₹35,000",1250 sq.ft,Fully furnished
3.5 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/16880630-2350-sqft-3.5-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Rustle Court,"₹75,000",2350 sq.ft,Fully furnished
3 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/16735687-1850-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Shalimar Vista,"₹35,000",1850 sq.ft,Semi furnished
3 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/16735782-1900-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Rustle Court,"₹42,000",1900 sq.ft,Semi furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16598245-1800-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Rishita Manhattan,"₹50,000",1800 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16483038-3000-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹30,000",3000 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Naubasta Kala,https://housing.com/rent/15387268-1000-sqft-2-bhk-independent-floor-on-rent-in-naubasta-kala-lucknow,Not Found,"₹13,000",1000 sq.ft,Semi furnished
2 BHK Independent House for rent in Naubasta Kala,https://housing.com/rent/14692323-1100-sqft-2-bhk-independent-house-on-rent-in-naubasta-kala-lucknow,Not Found,"₹13,000",1100 sq.ft,Semi furnished
2 BHK Independent House for rent in Gomti Nagar Extension,https://housing.com/rent/16095409-1250-sqft-2-bhk-independent-house-on-rent-in-gomti-nagar-lucknow,Not Found,"₹15,000",1250 sq.ft,Un-furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16095710-1250-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹18,000",1250 sq.ft,Un-furnished
2 BHK Independent House for rent in Gomti Nagar,https://housing.com/rent/16096144-1250-sqft-2-bhk-independent-house-on-rent-in-gomti-nagar-lucknow,Not Found,"₹16,000",1250 sq.ft,Un-furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16985208-1875-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Rohtas Plumeria Homes,"₹35,000",1875 sq.ft,Fully furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16984609-1850-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Not Found,"₹25,000",1850 sq.ft,Semi furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16985113-1875-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Rohtas Plumeria Homes,"₹26,000",1875 sq.ft,Semi furnished
3 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/16178399-6000-sqft-3-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹32,000",6000 sq.ft,Semi furnished
3 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16181406-6000-sqft-3-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹35,000",6000 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16177451-3000-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹35,000",3000 sq.ft,Fully furnished
3 BHK Independent House for rent in Gomti Nagar,https://housing.com/rent/16180511-2000-sqft-3-bhk-independent-house-on-rent-in-gomti-nagar-lucknow,Not Found,"₹25,000",2000 sq.ft,Un-furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16733327-1665-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Not Found,"₹26,000",1665 sq.ft,Semi furnished
1 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/12243152-1250-sqft-1-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow-v2,Not Found,"₹14,000",1250 sq.ft,Fully furnished
3 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/16935954-1250-sqft-3-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹20,000",1250 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Rahmatnagar,https://housing.com/rent/16938889-1250-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹15,000",1250 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/16933493-1200-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹13,000",1200 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/16939105-1250-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹17,000",1250 sq.ft,Semi furnished
1 BHK Independent House for rent in Gomti Nagar,https://housing.com/rent/11531786-1500-sqft-1-bhk-independent-house-on-rent-in-gomti-nagar-lucknow-v2,Not Found,"₹16,000",1500 sq.ft,Fully furnished
1 RK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/11510180-1250-sqft-1-rk-independent-floor-on-rent-in-gomti-nagar-lucknow-v2,Not Found,"₹12,500",1250 sq.ft,Fully furnished
3 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/16717975-2152-sqft-3-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹26,000",2152 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/11225705-2152-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow-v2,Not Found,"₹19,000",2152 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/11022181-1400-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow-v2,Not Found,"₹16,000",1400 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/16705837-1250-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹15,500",1250 sq.ft,Semi furnished
1 RK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/10349759-1250-sqft-1-rk-independent-floor-on-rent-in-gomti-nagar-lucknow-v2,Not Found,"₹11,000",1250 sq.ft,Fully furnished
2 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16748655-1100-sqft-2-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Not Found,"₹20,000",1100 sq.ft,Semi furnished
1 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/8147755-1250-sqft-1-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow-v2,Not Found,"₹13,000",1250 sq.ft,Fully furnished
3 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/14517493-1615-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-lucknow-v2,Omaxe The Palace,"₹32,000",1615 sq.ft,Semi furnished
2 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/16906168-1550-sqft-2-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Rustle Court,"₹45,000",1550 sq.ft,Fully furnished
3 BHK Flat for rent in Ahmamau,https://housing.com/rent/16905971-1250-sqft-3-bhk-apartment-on-rent-in-ahmamau-lucknow,Paarth Aadyant,"₹38,500",1250 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16895717-1250-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹17,000",1250 sq.ft,Semi furnished
3 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/16895845-2600-sqft-3-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹35,000",2600 sq.ft,Fully furnished
2 BHK Independent House for rent in Indira Nagar,https://housing.com/rent/16780821-1300-sqft-2-bhk-independent-house-on-rent-in-indira-nagar-lucknow,Not Found,"₹20,000",1300 sq.ft,Semi furnished
3 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/8018557-3200-sqft-3-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow-v2,Not Found,"₹22,000",3200 sq.ft,Semi furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16501132-1900-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Eldeco Saubhagyam Phase 2,"₹45,000",1900 sq.ft,Fully furnished
2 BHK Flat for rent in Ashiyana,https://housing.com/rent/16306314-2000-sqft-2-bhk-apartment-on-rent-in-ashiyana-lucknow,Not Found,"₹27,000",2000 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Mahanagar,https://housing.com/rent/16324371-1200-sqft-2-bhk-independent-floor-on-rent-in-mahanagar-lucknow,Not Found,"₹26,000",1200 sq.ft,Fully furnished
2 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16765071-1250-sqft-2-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Not Found,"₹26,000",1250 sq.ft,Fully furnished
3 BHK Flat for rent in Semra,https://housing.com/rent/16765793-1650-sqft-3-bhk-apartment-on-rent-in-semra-lucknow,SUNBREEZE 2,"₹20,000",1650 sq.ft,Semi furnished
2 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/16767295-1250-sqft-2-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Not Found,"₹21,000",1250 sq.ft,Fully furnished
3 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16766310-3200-sqft-3-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹30,000",3200 sq.ft,Semi furnished
1 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/16765461-600-sqft-1-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Emaar Elite Oasis,"₹25,000",600 sq.ft,Semi furnished
2.5 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/16363953-1600-sqft-2.5-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹25,000",1600 sq.ft,Fully furnished
4 BHK Flat for rent in Sushant Golf City,https://housing.com/rent/16297674-2000-sqft-4-bhk-apartment-on-rent-in-golf-city-lucknow,Not Found,"₹45,000",2000 sq.ft,Fully furnished
3 BHK Independent House for rent in Gomti Nagar,https://housing.com/rent/16759486-3200-sqft-3-bhk-independent-house-on-rent-in-gomti-nagar-lucknow,Not Found,"₹30,000",3200 sq.ft,Semi furnished
2 BHK Flat for rent in Krishna Nagar,https://housing.com/rent/16270526-1400-sqft-2-bhk-apartment-on-rent-in-krishna-nagar-lucknow,Not Found,"₹30,000",1400 sq.ft,Fully furnished
4 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/16759473-2200-sqft-4-bhk-apartment-on-rent-in-gomti-nagar-lucknow,LDA Parijat Apartment,"₹25,000",2200 sq.ft,Semi furnished
10 BHK Villa for rent in Gomti Nagar Extension,https://housing.com/rent/16241437-9200-sqft-10-bhk-villa-on-rent-in-gomti-nagar-lucknow,Not Found,"₹3,00,000",9200 sq.ft,Fully furnished
2.5 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16875424-1200-sqft-2.5-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Not Found,"₹23,500",1200 sq.ft,Fully furnished
2 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/16258093-1500-sqft-2-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Ganga Apartment,"₹18,000",1500 sq.ft,Semi furnished
2 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16206791-1400-sqft-2-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Sukhada Vrindavan,"₹28,000",1400 sq.ft,Fully furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16125068-1650-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,AKASH ENCLAVE,"₹30,000",1650 sq.ft,Semi furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16125133-1650-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Gold Star Homes Phase II,"₹25,000",1650 sq.ft,Semi furnished
3 BHK Independent Builder Floor for rent in Mahanagar,https://housing.com/rent/15927310-1750-sqft-3-bhk-independent-floor-on-rent-in-mahanagar-lucknow,Not Found,"₹35,000",1750 sq.ft,Fully furnished
2 BHK Flat for rent in Mahanagar,https://housing.com/rent/15892985-1500-sqft-2-bhk-apartment-on-rent-in-mahanagar-lucknow,Shalimar Gallant West,"₹46,000",1500 sq.ft,Fully furnished
3 BHK Independent Builder Floor for rent in Indira Nagar,https://housing.com/rent/16797148-1200-sqft-3-bhk-independent-floor-on-rent-in-indira-nagar-lucknow,Not Found,"₹16,000",1200 sq.ft,Semi furnished
2 BHK Flat for rent in Sushant Golf City,https://housing.com/rent/16797209-1200-sqft-2-bhk-apartment-on-rent-in-golf-city-lucknow,Pardos Okas Enclave,"₹25,000",1200 sq.ft,Fully furnished
3 BHK Flat for rent in Sushant Golf City,https://housing.com/rent/15894103-1800-sqft-3-bhk-apartment-on-rent-in-golf-city-lucknow,Not Found,"₹40,000",1800 sq.ft,Fully furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16797174-1500-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Not Found,"₹25,000",1500 sq.ft,Fully furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/15867769-1800-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Omaxe Heights II,"₹60,000",1800 sq.ft,Fully furnished
3.5 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/15867721-1950-sqft-3.5-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Rishita Manhattan,"₹37,000",1950 sq.ft,Semi furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/15868677-1650-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Azeagaia Azea Botanica,"₹35,000",1650 sq.ft,Semi furnished
2 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/15840145-1400-sqft-2-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,AKASH ENCLAVE,"₹25,000",1400 sq.ft,Fully furnished
3 BHK Flat for rent in Ashiyana,https://housing.com/rent/15840169-1935-sqft-3-bhk-apartment-on-rent-in-ashiyana-lucknow,Ansal Orchid Greens Apartment,"₹22,000",1935 sq.ft,Semi furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/15810540-1650-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Azeagaia Azea Botanica,"₹30,000",1650 sq.ft,Semi furnished
2 BHK Flat for rent in Sushant Golf City,https://housing.com/rent/15767835-1250-sqft-2-bhk-apartment-on-rent-in-sultanpur-road-lucknow,Ansal Paradise Crystal,"₹27,000",1250 sq.ft,Fully furnished
2 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/15768261-1400-sqft-2-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Sukhada Vrindavan,"₹30,000",1400 sq.ft,Fully furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/15758548-1750-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Rishita Manhattan,"₹30,000",1750 sq.ft,Semi furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/15692320-2000-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,AKASH ENCLAVE,"₹45,000",2000 sq.ft,Fully furnished
2 BHK Flat for rent in Sector B Ansal API,https://housing.com/rent/15637201-1400-sqft-2-bhk-apartment-on-rent-in-sector-b-ansal-api-lucknow,Not Found,"₹28,000",1400 sq.ft,Fully furnished
1 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16063745-900-sqft-1-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹14,000",900 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16049414-1400-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹18,500",1400 sq.ft,Semi furnished
1 RK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16049518-500-sqft-1-rk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹13,500",500 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16049537-1800-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹16,000",1800 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16049387-1600-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹18,000",1600 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16049496-1700-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹16,000",1700 sq.ft,Semi furnished
1 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/15852911-500-sqft-1-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹12,000",500 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/15827866-1000-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹16,000",1000 sq.ft,Semi furnished
1 RK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16714528-300-sqft-1-rk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹13,000",300 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16714645-2000-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹17,000",2000 sq.ft,Semi furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16831386-1400-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Not Found,"₹24,500",1400 sq.ft,Semi furnished
3 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/15672390-1614-sqft-3-bhk-apartment-on-rent-in-sultanpur-road-lucknow-v2,Omaxe The Palace,"₹60,000",1614 sq.ft,Fully furnished
3 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/15672516-1650-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-lucknow-v2,Shalimar Vista,"₹55,000",1650 sq.ft,Fully furnished
3 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/15457709-1800-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-lucknow-v2,One World Pinnacle,"₹50,000",1800 sq.ft,Fully furnished
2.5 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16751248-1150-sqft-2.5-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Tejas Greenberry Signatures,"₹18,000",1150 sq.ft,Semi furnished
8 BHK Independent House for rent in Gomti Nagar,https://housing.com/rent/15067986-4500-sqft-8-bhk-independent-house-on-rent-in-gomti-nagar-lucknow-2,Not Found,"₹1,00,000",4500 sq.ft,Semi furnished
1 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/15211748-600-sqft-1-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow-v2,Not Found,"₹18,000",600 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/16095957-1250-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹15,000",1250 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/16096247-1250-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹14,000",1250 sq.ft,Semi furnished
3 BHK Flat for rent in Uattardhona,https://housing.com/rent/15192364-1650-sqft-3-bhk-apartment-on-rent-in-uattardhona-lucknow,Not Found,"₹40,000",1650 sq.ft,Fully furnished
3 BHK Flat for rent in Gomti Nagar,https://housing.com/rent/15085884-1800-sqft-3-bhk-apartment-on-rent-in-sultanpur-road-lucknow-v2,Omaxe The Palace,"₹28,000",1800 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/15064669-1400-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-extension-lucknow-v2,Not Found,"₹25,000",1400 sq.ft,Fully furnished
3.5 BHK Independent House for rent in Gomti Nagar Extension,https://housing.com/rent/16780001-3000-sqft-3.5-bhk-independent-house-on-rent-in-gomti-nagar-lucknow,Not Found,"₹40,000",3000 sq.ft,Fully furnished
2 BHK Flat for rent in Sushant Golf City,https://housing.com/rent/14767442-1250-sqft-2-bhk-apartment-on-rent-in-sultanpur-road-lucknow-v2,Celebrity Meadows Tower M,"₹22,000",1250 sq.ft,Semi furnished
3 BHK Flat for rent in Ahmamau,https://housing.com/rent/14746104-1800-sqft-3-bhk-apartment-on-rent-in-sultanpur-road-lucknow-v2,Paarth Aadyant,"₹25,000",1800 sq.ft,Semi furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/14287395-1800-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-lucknow-v2,Parsvnath Planet,"₹50,000",1800 sq.ft,Fully furnished
4 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/16770662-3250-sqft-4-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹36,000",3250 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Indira Nagar,https://housing.com/rent/16699288-1200-sqft-2-bhk-independent-floor-on-rent-in-indira-nagar-lucknow,Not Found,"₹16,000",1200 sq.ft,Semi furnished
1 BHK Independent House for rent in Gomti Nagar Extension,https://housing.com/rent/16710313-900-sqft-1-bhk-independent-house-on-rent-in-gomti-nagar-lucknow,Not Found,"₹18,000",900 sq.ft,Fully furnished
4 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16747235-1500-sqft-4-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹19,000",1500 sq.ft,Semi furnished
3 BHK Independent Builder Floor for rent in Chand Saray,https://housing.com/rent/16717099-1200-sqft-3-bhk-independent-floor-on-rent-in-sultanpur-road-lucknow,Not Found,"₹25,000",1200 sq.ft,Semi furnished
3 BHK Flat for rent in Indira Nagar,https://housing.com/rent/16700103-1700-sqft-3-bhk-apartment-on-rent-in-indira-nagar-lucknow,Not Found,"₹30,000",1700 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/4686036-2200-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹18,000",2200 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/3759289-2200-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹18,000",2200 sq.ft,Semi furnished
3 BHK Flat for rent in Mahanagar,https://housing.com/rent/15810065-1800-sqft-3-bhk-apartment-on-rent-in-mahanagar-lucknow,Shalimar Gallant West,"₹70,000",1800 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/4699696-1600-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹17,000",1600 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/3750488-1250-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow-v2,Not Found,"₹18,000",1250 sq.ft,Semi furnished
4 BHK Flat for rent in Hazratganj,https://housing.com/rent/4121377-2000-sqft-4-bhk-apartment-on-rent-in-hazratganj-lucknow-v2,River View Apartment,"₹42,000",2000 sq.ft,Fully furnished
4 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16608816-2500-sqft-4-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Rohtas Presidential Tower,"₹63,000",2500 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16609188-1800-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹25,000",1800 sq.ft,Fully furnished
2.5 BHK Independent House for rent in Baraulikhalilabad,https://housing.com/rent/16974376-1500-sqft-2.5-bhk-independent-house-on-rent-in-vrindavan-yojna-lucknow,Kahlon Sehkari Awas Samiti Garden City II,"₹12,500",1500 sq.ft,Un-furnished
4 BHK Independent Builder Floor for rent in Sharda Nagar,https://housing.com/rent/17103428-3200-sqft-4-bhk-independent-floor-on-rent-in-sharda-nagar-lucknow,Not Found,"₹25,000",3200 sq.ft,Semi furnished
2 BHK Flat for rent in Sushant Golf City,https://housing.com/rent/17102628-950-sqft-2-bhk-apartment-on-rent-in-golf-city-lucknow,Urban Woods,"₹16,000",950 sq.ft,Semi furnished
3 BHK Flat for rent in Kalli Pashchim,https://housing.com/rent/16935824-1550-sqft-3-bhk-apartment-on-rent-in-kalli-pashchim-lucknow,Blue Mountain,"₹30,000",1550 sq.ft,Fully furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16922030-1540-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Mangalam Neelkanth Dreamz,"₹30,000",1540 sq.ft,Fully furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16910826-1150-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,AWHO Vay Sector 8B G,"₹19,000",1150 sq.ft,Semi furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16914956-1640-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Reddvise Shiva Gardens,"₹18,000",1640 sq.ft,Semi furnished
2 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16915647-1050-sqft-2-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Not Found,"₹15,000",1050 sq.ft,Semi furnished
