title,link,subtitle,price,area,property_details
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16974296-1700-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,AWHO Vay Sector 8B G,"₹20,000",1700 sq.ft,Un-furnished
4 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16715640-2200-sqft-4-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Rohtas Presidential Tower,"₹65,000",2200 sq.ft,Fully furnished
8 BHK Villa for rent in Ashiyana,https://housing.com/rent/14891202-5100-sqft-8-bhk-villa-on-rent-in-ashiyana-lucknow,Not Found,"₹60,000",5100 sq.ft,Semi furnished
2 BHK Independent House for rent in Eldeco II,https://housing.com/rent/16822242-2000-sqft-2-bhk-independent-house-on-rent-in-eldeco-ii-lucknow,Eldeco Saksham At Samridhi Udyan 2,"₹20,000",2000 sq.ft,Semi furnished
2 BHK Flat for rent in Ahmamau,https://housing.com/rent/16206914-1450-sqft-2-bhk-apartment-on-rent-in-sultanpur-road-lucknow,Chandra Panorama,"₹35,000",1450 sq.ft,Fully furnished
4 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16102807-2300-sqft-4-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Rohtas Presidential Tower,"₹65,000",2300 sq.ft,Fully furnished
3 BHK Flat for rent in Arjunganj,https://housing.com/rent/15891359-1550-sqft-3-bhk-apartment-on-rent-in-sultanpur-road-lucknow,Omaxe Residency,"₹50,000",1550 sq.ft,Fully furnished
7 BHK Independent House for rent in Gomti Nagar,https://housing.com/rent/15672838-4500-sqft-7-bhk-independent-house-on-rent-in-gomti-nagar-lucknow,Not Found,"₹1,60,000",4500 sq.ft,Fully furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/15672911-1800-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Rohtas Plumeria Homes,"₹55,000",1800 sq.ft,Fully furnished
3 BHK Independent House for rent in Ashiyana,https://housing.com/rent/5292097-1935-sqft-3-bhk-independent-house-on-rent-in-lda-colony-lucknow-2,Not Found,"₹22,000",1935 sq.ft,Un-furnished
2 BHK Flat for rent in Sushant Golf City,https://housing.com/rent/17072743-1167-sqft-2-bhk-apartment-on-rent-in-golf-city-lucknow,Okas Residency,"₹18,000",1167 sq.ft,Semi furnished
2 BHK Flat for rent in Chinhat,https://housing.com/rent/17192671-1200-sqft-2-bhk-apartment-on-rent-in-chinhat-lucknow,Surya Square Apartments,"₹18,000",1200 sq.ft,Semi furnished
2 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/17160849-1100-sqft-2-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Arsha Sumangalam,"₹21,000",1100 sq.ft,Fully furnished
3 BHK Flat for rent in Krishna Nagar,https://housing.com/rent/17158891-1600-sqft-3-bhk-apartment-on-rent-in-krishna-nagar-lucknow,Not Found,"₹18,000",1600 sq.ft,Semi furnished
4 BHK Villa for rent in Sushant Golf City,https://housing.com/rent/16819062-3200-sqft-4-bhk-villa-on-rent-in-golf-city-lucknow,Ansal Ansal API Sushant Golf City Charmwood Villa II,"₹35,000",3200 sq.ft,Semi furnished
3 BHK Independent Builder Floor for rent in South City,https://housing.com/rent/17142653-2100-sqft-3-bhk-independent-floor-on-rent-in-south-city-lucknow,Not Found,"₹23,000",2100 sq.ft,Semi furnished
2 BHK Flat for rent in Sushant Golf City,https://housing.com/rent/17135174-1100-sqft-2-bhk-apartment-on-rent-in-golf-city-lucknow,Not Found,"₹11,000",1100 sq.ft,Un-furnished
2 BHK Independent Builder Floor for rent in Indira Nagar,https://housing.com/rent/17129345-1100-sqft-2-bhk-independent-floor-on-rent-in-indira-nagar-lucknow,Manas Enclave Phase 2,"₹15,000",1100 sq.ft,Semi furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/17115283-1600-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Arsha Sumangalam,"₹25,000",1600 sq.ft,Fully furnished
2 BHK Flat for rent in Kalyanpur (East),https://housing.com/rent/16779272-1100-sqft-2-bhk-apartment-on-rent-in-kalyanpur-(east)-lucknow,Not Found,"₹12,000",1100 sq.ft,Semi furnished
3.5 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/17073699-1950-sqft-3.5-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,AKASH ENCLAVE,"₹35,000",1950 sq.ft,Fully furnished
2 BHK Flat for rent in Mahanagar,https://housing.com/rent/17060822-1450-sqft-2-bhk-apartment-on-rent-in-mahanagar-lucknow,Shalimar Gallant,"₹45,000",1450 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/17058047-900-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-extension-lucknow,Not Found,"₹12,000",900 sq.ft,Fully furnished
2 BHK Flat for rent in Sevai,https://housing.com/rent/17053859-1215-sqft-2-bhk-apartment-on-rent-in-sultanpur-road-lucknow,R R Celebrity Gardens Block R,"₹16,000",1215 sq.ft,Semi furnished
3.5 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/17031601-1610-sqft-3.5-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Not Found,"₹35,000",1610 sq.ft,Fully furnished
1 BHK Independent Builder Floor for rent in Ashiyana,https://housing.com/rent/17019819-1250-sqft-1-bhk-independent-floor-on-rent-in-ashiyana-lucknow,Not Found,"₹14,000",1250 sq.ft,Fully furnished
3 BHK Flat for rent in Jankipuram,https://housing.com/rent/17007912-1800-sqft-3-bhk-apartment-on-rent-in-jankipuram-lucknow,AT Dreams T Rose Tower,"₹18,000",1800 sq.ft,Semi furnished
2 BHK Flat for rent in Sushant Golf City,https://housing.com/rent/16845419-1080-sqft-2-bhk-apartment-on-rent-in-golf-city-lucknow,Not Found,"₹15,000",1080 sq.ft,Semi furnished
3.5 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/17007538-2150-sqft-3.5-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,AKASH ENCLAVE,"₹37,000",2150 sq.ft,Fully furnished
2 BHK Independent House for rent in Gomti Nagar,https://housing.com/rent/17003668-1250-sqft-2-bhk-independent-house-on-rent-in-gomti-nagar-extension-lucknow,Not Found,"₹18,000",1250 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Indira Nagar,https://housing.com/rent/16979088-1500-sqft-2-bhk-independent-floor-on-rent-in-indira-nagar-lucknow,Manas Enclave Phase 2,"₹22,000",1500 sq.ft,Fully furnished
2 BHK Flat for rent in Sushant Golf City,https://housing.com/rent/16979357-1150-sqft-2-bhk-apartment-on-rent-in-golf-city-lucknow,Okas Residency,"₹22,000",1150 sq.ft,Semi furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16977253-1605-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Gold Star Homes Phase II,"₹22,000",1605 sq.ft,Semi furnished
2 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16966997-1250-sqft-2-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Gold Star Homes Phase II,"₹18,000",1250 sq.ft,Semi furnished
2 BHK Independent House for rent in Indira Nagar,https://housing.com/rent/16970915-1000-sqft-2-bhk-independent-house-on-rent-in-indira-nagar-lucknow,Not Found,"₹13,500",1000 sq.ft,Un-furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/16966621-1250-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹30,000",1250 sq.ft,Fully furnished
2 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16937753-1250-sqft-2-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Eldeco Saubhagyam Phase 2,"₹19,000",1250 sq.ft,Semi furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16941183-1550-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Kalptaru Apartments,"₹25,000",1550 sq.ft,Semi furnished
3 BHK Independent Builder Floor for rent in Sharda Nagar,https://housing.com/rent/16930301-1550-sqft-3-bhk-independent-floor-on-rent-in-sharda-nagar-lucknow,LDA Ratanlok Apartment,"₹30,000",1550 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Ashiyana,https://housing.com/rent/16921512-1500-sqft-2-bhk-independent-floor-on-rent-in-ashiyana-lucknow,Not Found,"₹14,000",1500 sq.ft,Semi furnished
3.5 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16922318-1893-sqft-3.5-bhk-apartment-on-rent-in-gomti-nagar-lucknow,Not Found,"₹40,000",1893 sq.ft,Fully furnished
3.5 BHK Flat for rent in Sushant Golf City,https://housing.com/rent/16919522-1893-sqft-3.5-bhk-apartment-on-rent-in-golf-city-lucknow,Rishita Mulberry,"₹28,000",1893 sq.ft,Semi furnished
6 BHK Penthouse for rent in Vrindavan Yojana,https://housing.com/rent/16924606-3600-sqft-6-bhk-penthouse-on-rent-in-vrindavan-yojna-lucknow,Samiah Melrose Avenue,"₹55,000",3600 sq.ft,Fully furnished
4.5 BHK Villa for rent in Ashiyana,https://housing.com/rent/16924244-3200-sqft-4.5-bhk-villa-on-rent-in-ashiyana-lucknow,Not Found,"₹50,000",3200 sq.ft,Fully furnished
2 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16924802-1560-sqft-2-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Not Found,"₹19,000",1560 sq.ft,Semi furnished
3 BHK Villa for rent in Ashiyana,https://housing.com/rent/16922527-1935-sqft-3-bhk-villa-on-rent-in-ashiyana-lucknow,Not Found,"₹25,000",1935 sq.ft,Semi furnished
2 BHK Independent House for rent in LDA Colony,https://housing.com/rent/16924064-1800-sqft-2-bhk-independent-house-on-rent-in-lda-colony-lucknow,Not Found,"₹17,000",1800 sq.ft,Semi furnished
3 BHK Flat for rent in Sector A,https://housing.com/rent/16909247-1700-sqft-3-bhk-apartment-on-rent-in-sultanpur-road-lucknow,Ansal Celebrity Greens Tower L And M Phase 3,"₹35,000",1700 sq.ft,Fully furnished
2 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16493573-1355-sqft-2-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Eldeco Saubhagyam Phase 2,"₹20,000",1355 sq.ft,Semi furnished
3 BHK Independent House for rent in LDA Colony,https://housing.com/rent/16492456-1800-sqft-3-bhk-independent-house-on-rent-in-lda-colony-lucknow,Not Found,"₹25,000",1800 sq.ft,Semi furnished
