title,link,subtitle,price,area,property_details,city,location,first_image_url
2 BHK Flat for rent in Sector 137,https://housing.com/rent/16961545-1040-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,26000,1040 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/fe6d6f4041038d20cf6170a74891c780/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/17151790-890-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Supertech Ecociti,24000,890 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/cb950d90cf18228b02e194435f12d5f9/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
3.5 BHK Flat for rent in Sector 74,https://housing.com/rent/17130500-1945-sqft-3.5-bhk-apartment-on-rent-in-sector-74-noida,Supertech Cape Town,40000,1945 sq.ft,Semi furnished,Noida,Sector 74,https://housing-images.n7net.in/01c16c28/e08ea0afd30dd34637f1a44b0f19a6ca/v0/large/3.5_bhk_apartment-for-rent-sector_74_noida-Noida-living_room.jpg
2 BHK Flat for rent in Sector 151,https://housing.com/rent/16800881-953-sqft-2-bhk-apartment-on-rent-in-sector-151-noida,Jaypee Aman,15250,953 sq.ft,Semi furnished,Noida,Sector 151,https://housing-images.n7net.in/01c16c28/d275df4d5e5fb74253f48d04d491868e/v0/large/2_bhk_apartment-for-rent-sector_151-Aurangabad-living_room.jpg
4 BHK Flat for rent in Sector 107,https://housing.com/rent/16635209-4482-sqft-4-bhk-apartment-on-rent-in-sector-107-noida,County 107,250000,4482 sq.ft,Semi furnished,Noida,Sector 107,https://housing-images.n7net.in/01c16c28/9dc0a23075414e618e754a4eb65fbf20/v0/large/4_bhk_apartment-for-rent-sector_107_noida-Noida-living_room.jpg
3 BHK Flat for rent in Sector 76,https://housing.com/rent/16268293-1420-sqft-3-bhk-apartment-on-rent-in-sector-76-noida,Amrapali Silicon City,30000,1420 sq.ft,Semi furnished,Noida,Sector 76,https://housing-images.n7net.in/01c16c28/f03a42df849df4641c1178dd51867bdb/v0/large/3_bhk_apartment-for-rent-sector_76-Noida-bedroom_three.jpg
3 BHK Flat for rent in Sector 150,https://housing.com/rent/16837718-2000-sqft-3-bhk-apartment-on-rent-in-sector-150-noida,ATS Le Grandiose,35000,2000 sq.ft,Semi furnished,Noida,Sector 150,https://housing-images.n7net.in/01c16c28/03e4b2ad646921c26539bcea34f26721/v0/large/3_bhk_apartment-for-rent-sector_150-Noida-living_room.jpg
3 BHK Flat for rent in Sector 143,https://housing.com/rent/16998704-1465-sqft-3-bhk-apartment-on-rent-in-sector-143-noida,Sikka Kaamna Greens,45000,1465 sq.ft,Fully furnished,Noida,Sector 143,https://housing-images.n7net.in/01c16c28/23491fce8614480fadb860fecad6f657/v0/large/3_bhk_apartment-for-rent-sector_143-Noida-living_room.jpg
1 BHK Flat for rent in Sector 137,https://housing.com/rent/16799901-450-sqft-1-bhk-apartment-on-rent-in-sector-137-noida,Paras Tierea,19000,450 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/919ab6331c9fcb23161fe762f677a609/v0/large/1_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
4 BHK Flat for rent in Sector 75,https://housing.com/rent/16779541-3030-sqft-4-bhk-apartment-on-rent-in-sector-75-noida,Dasnac Burj Noida,100000,3030 sq.ft,Semi furnished,Noida,Sector 75,https://housing-images.n7net.in/01c16c28/348AFEFE8669487AA4AE9FD4D25D42C5/v0/large/4_bhk_apartment-for-rent-sector_75_noida-Noida-bedroom_one.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/16884171-925-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Paras Tierea,21000,925 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/95e5f357f83471f3e6482caae3e17a79/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-kitchen.jpg
2 BHK Independent Builder Floor for rent in Sector 1,https://housing.com/rent/16891632-550-sqft-2-bhk-independent-floor-on-rent-in-sector-1-noida,Not Found,23000,550 sq.ft,Fully furnished,Noida,Sector 1,https://housing-images.n7net.in/01c16c28/5824c328ed0945f08ca7c932556f96d5/v0/large/2_bhk_independent_builder_floor-for-rent-sector_1_1-Noida-kitchen.jpg
3 BHK Flat for rent in Sector 100,https://housing.com/rent/15906000-1780-sqft-3-bhk-apartment-on-rent-in-sector-100-noida,The 3C Lotus Boulevard,45000,1780 sq.ft,Semi furnished,Noida,Sector 100,https://housing-images.n7net.in/01c16c28/0271b89fd43bb4fd1b012f6bf6d35f04/v0/large/3_bhk_apartment-for-rent-sector_100-Noida-living_room.jpg
1 RK Flat for rent in Sector 143,https://housing.com/rent/16879109-500-sqft-1-rk-apartment-on-rent-in-sector-143-noida,Logix Blossom Zest,23000,500 sq.ft,Fully furnished,Noida,Sector 143,https://housing-images.n7net.in/01c16c28/064e297200a600e8809934db8019b931/v0/large/1_rk_apartment-for-rent-sector_143-Noida-hall.jpg
2.5 BHK Flat for rent in Sector 143,https://housing.com/rent/16879190-1234-sqft-2.5-bhk-apartment-on-rent-in-sector-143-noida,Logix Blossom Zest,35000,1234 sq.ft,Fully furnished,Noida,Sector 143,https://housing-images.n7net.in/01c16c28/d87d40cd66efe9a40f722567801753c3/v0/large/2.5_bhk_apartment-for-rent-sector_143-Noida-hall.jpg
2.5 BHK Flat for rent in Sector 137,https://housing.com/rent/16833210-1070-sqft-2.5-bhk-apartment-on-rent-in-sector-137-noida,Paras Tierea,33000,1070 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/61d37c7423adf3875c7489735611bdbe/v0/large/2.5_bhk_apartment-for-rent-sector_137-Noida-hall.jpg
3 BHK Flat for rent in Sector 137,https://housing.com/rent/16833241-1265-sqft-3-bhk-apartment-on-rent-in-sector-137-noida,Paras Tierea,40000,1265 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/f70004c1b47c97a1fd430f9652717b8d/v0/large/3_bhk_apartment-for-rent-sector_137-Noida-hall.jpg
